0.305057,1.852707,-1
0.350855,0.547624,-1
2.383367,4.424116,-1
3.055610,0.159656,-1
3.089258,3.970069,-1
3.362482,4.038429,-1
0.522078,6.644703,1
4.277754,1.951025,-1
4.292037,8.452302,1
4.390061,2.650962,-1
4.391739,4.388713,-1
4.617555,4.282322,-1
5.686953,7.541989,1
5.736236,7.109202,1
3.833368,0.640896,-1
7.074342,7.744356,1
7.749716,9.969612,1
8.174119,6.224119,1
8.357997,8.208005,1
2.723342,0.568875,-1
8.767977,9.747111,1
9.016805,8.238261,1
9.169709,9.788275,1
9.672429,8.775718,1
9.969026,5.876345,1
