95,12.85,1
102,12.93,1
98,13.05,1
92,13.05,1
107,13.05,1
124,13.05,1
98,13.07,1
101,13.16,1
100,13.2,1
118,13.24,1
103,13.24,1
110,13.28,1
102,13.29,1
94,13.3,1
93,13.39,1
90,13.41,1
100,13.48,1
96,13.5,1
110,13.51,1
117,13.56,1
116,13.56,1
106,13.58,1
112,13.63,1
116,13.64,1
104,13.68,1
101,13.71,1
108,13.72,1
101,13.73,1
118,13.74,1
89,13.75,1
132,13.76,1
115,13.77,1
111,13.82,1
115,13.83,1
94,13.83,1
98,13.86,1
107,13.87,1
101,13.88,1
101,13.9,1
108,13.94,1
96,14.02,1
126,14.06,1
121,14.06,1
103,14.1,1
105,14.1,1
95,14.12,1
108,14.19,1
112,14.2,1
111,14.21,1
118,14.22,1
128,14.22,1
127,14.23,1
120,14.3,1
113,14.37,1
102,14.38,1
102,14.38,1
96,14.39,1
91,14.75,1
97,14.83,1
85,11.03,-1
88,11.41,-1
96,11.45,-1
107,11.46,-1
119,11.56,-1
94,11.61,-1
98,11.62,-1
84,11.64,-1
88,11.65,-1
97,11.66,-1
103,11.76,-1
92,11.79,-1
134,11.81,-1
86,11.82,-1
86,11.82,-1
94,11.84,-1
112,11.84,-1
82,11.87,-1
101,11.96,-1
86,12,-1
86,12,-1
87,12,-1
80,12.04,-1
85,12.07,-1
78,12.08,-1
70,12.08,-1
84,12.08,-1
81,12.08,-1
97,12.08,-1
90,12.16,-1
104,12.17,-1
151,12.21,-1
92,12.22,-1
80,12.25,-1
85,12.29,-1
103,12.29,-1
88,12.29,-1
88,12.29,-1
136,12.33,-1
101,12.33,-1
98,12.34,-1
88,12.37,-1
88,12.37,-1
87,12.37,-1
78,12.37,-1
98,12.37,-1
88,12.37,-1
108,12.42,-1
90,12.42,-1
102,12.42,-1
86,12.43,-1
162,12.47,-1
85,12.51,-1
88,12.52,-1
88,12.6,-1
100,12.64,-1
99,12.67,-1
80,12.69,-1
101,12.7,-1
84,12.72,-1
86,12.72,-1
80,12.77,-1
139,12.99,-1
86,13.03,-1
85,13.05,-1
86,13.05,-1
78,13.11,-1
110,13.34,-1
87,13.49,-1
94,13.67,-1
86,13.86,-1
